Location;Province;Genus;species/clone;type of sample;Asymptomatic/diseased;Nursery/Field;Roots;Root Collar;Stem;Growth tip;Needles/Leaves;results
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;;Healthy, Discoloration, Outer bark;Alive, Dead;Secondary Fungi/Bacteria
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;;Healthy, Discoloration, Outer bark;Alive, Dead;Secondary Fungi/Bacteria
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;;Healthy, Discoloration, Outer bark;Alive, Dead;Secondary Fungi/Bacteria
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;;Healthy, Discoloration, Outer bark;Alive, Dead;Secondary Fungi/Bacteria
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;;Healthy, Discoloration, Outer bark;Alive, Dead;Secondary Fungi/Bacteria
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Discoloration, Outer bark;Discoloration, Cambium;Alive;Secondary Fungi/Bacteria
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;;;Alive;Fusarium circinatum
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Discoloration, Outer bark;Discoloration, Cambium;Alive;Fusarium circinatum
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;;;Alive;Fusarium circinatum
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Discoloration, Outer bark;Discoloration, Cambium;Alive;Secondary Fungi/Bacteria
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Alive;Secondary Fungi/Bacteria
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Alive;Secondary Fungi/Bacteria
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Alive;Secondary Fungi/Bacteria
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark;Healthy;Alive;Fusarium circinatum
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark;Alive;Fusarium circinatum
Ngodwana ;Mpumalanga;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark;Healthy;Alive;Fusarium circinatum
Howick;Kwazulu-Natal;Eucalyptus;nitens;Stems, Roots;D;N;;Well developed, J-rooting;Discoloration, Outer bark, Between outer and inner bark, Cambium;;;Secondary Fungi/Bacteria
Pietermaritzburg;Kwazulu-Natal;Eucalyptus;dunni;Stems, Roots, Leaves/Needles;D;F;Root:shoot ratio;Few roots;Discoloration;Healthy;wilted;Phtyophthora sp.
Pietermaritzburg;Kwazulu-Natal;Eucalyptus;dunni;Stems, Roots, Leaves/Needles;D;F;Root:shoot ratio;;Discoloration;Healthy;;Secondary Fungi/Bacteria
Hilton;Kwazulu-Natal;Eucalyptus;dunni;Seedlings/Cuttings;A;;Healthy;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Healthy;Alive;Fusarium circinatum
Hilton;Kwazulu-Natal;Eucalyptus;dunni;Seedlings/Cuttings;A;;Healthy;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Healthy;Alive;Fusarium circinatum
Hilton;Kwazulu-Natal;Eucalyptus;dunni;Seedlings/Cuttings;A;;Healthy;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium, Sapwood;Healthy;Alive;Fusarium circinatum
Hilton;Kwazulu-Natal;Eucalyptus;dunni;Seedlings/Cuttings;A;;Healthy;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark;Healthy;Alive;Secondary Fungi/Bacteria
Hilton;Kwazulu-Natal;Eucalyptus;dunni;Seedlings/Cuttings;D;;Dead;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium, Sapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium, Sapwood;;Secondary Fungi/Bacteria
Hilton;Kwazulu-Natal;Eucalyptus;dunni;Seedlings/Cuttings;D;;Few needles/Brown;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium, Sapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium, Sapwood;Alive;Fusarium circinatum
Hilton;Kwazulu-Natal;Eucalyptus;dunni;Seedlings/Cuttings;A;;Healthy;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Healthy;Alive;Fusarium circinatum
Hilton;Kwazulu-Natal;Eucalyptus;dunni;Seedlings/Cuttings;A;;Healthy;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium, Sapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium;Alive;Fusarium circinatum
Hilton;Kwazulu-Natal;Eucalyptus;dunni;Seedlings/Cuttings;A;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Healthy;Alive;Secondary Fungi/Bacteria
Hilton;Kwazulu-Natal;Eucalyptus;dunni;Seedlings/Cuttings;A;;Healthy;Well developed, Dead;;;Alive;Secondary Fungi/Bacteria
New Hanover;Kwazulu-Natal;Eucalyptus;dunni;Seedlings, Stems, Roots, Branches, Leaves;D;N;;Few roots;Discoloration;Discolouration;Wilted;Phtyophthora sp.
Nerston;Mpumalanga;Eucalyptus;smithii;Seedling/Cuttings;A;N;;J-rooting;Discoloration;;;Phtyophthora sp.
Verzameling;Mpumalanga;Eucalyptus;macarthurii;Seedling/Cuttings;A;N;;J-rooting;Discoloration;;;Secondary Fungi/Bacteria
;;Pinus;elliottii;Seedling/Cuttings;D;N;Root:shoot ratio;Healthy;Healthy;Healthy;Dead, Discoloration;Secondary Fungi/Bacteria
;;Eucalyptus;dunnii;Seedling/Cuttings;D;N;Healthy;Healthy;Healthy;;Alive;Secondary Fungi/Bacteria
Scottsville;Western Cape;Eucalyptus;;Twigs/Branches, Leaves/Needles;D;N;;;;;;Leptocybe invasa
Sabie;Mpumalanga;Pinus;;Seed;A;N;;;;;;Secondary Fungi/Bacteria
Sabie;Mpumalanga;Pinus;;Seed;A;N;;;;;;Secondary Fungi/Bacteria
Sabie;Mpumalanga;Pinus;;Seed;A;N;;;;;;Secondary Fungi/Bacteria
Highlands;Kwazulu-Natal;Pinus;patula;Seedling/Cuttings;A;N;Wilted;Dead;Discoloration;Healthy;Wilted, Dead;Fusarium circinatum
Highlands;Kwazulu-Natal;Pinus;patula;Seedling/Cuttings;A;N;Wilted;Dead;Discoloration;Discoloration;Wilted, Dead;Fusarium circinatum
Montrose;Mpumalanga;Pinus;patula;Seedling/Cuttings;A;N;Root:shoot ratio;Insect/Mechanical damage, Dead;Insect/Mechanical damage, Discoloration;Kino/Gum/Resin Exudation, Swelling;Dead;Secondary Fungi/Bacteria
Montrose;Mpumalanga;Pinus;patula;Seedling/Cuttings;A;N;Root:shoot ratio;Dead;Insect/Mechanical damage, Healthy;Healthy;Alive;Secondary Fungi/Bacteria
Montrose;Mpumalanga;Pinus;patula;Seedling/Cuttings;A;N;Die-back;Dead;Insect/Mechanical damage, Healthy;Insect/Mechanical damage, Kino/Gum/Resin Exudation;Wilted, Dead;Fusarium circinatum
Montrose;Mpumalanga;Pinus;patula;Seedling/Cuttings;A;N;Root:shoot ratio;Well developed, Insect/Mechanical damage, Dead;Insect/Mechanical damage, Discoloration, Swelling;Healthy;Alive;Fusarium circinatum
Montrose;Mpumalanga;Pinus;patula;Seedling/Cuttings;A;N;Die-back, Wilted;Few roots, Dead;Insect/Mechanical damage;Discoloration;Wilted, Dead;Fusarium circinatum
Warburton;Mpumalanga;Pinus;patula;Twigs/Branches;D;N;;;;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Dead;Discoloration;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;;;;;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back, Wilted;Dead;Discoloration;Discoloration;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Dead;Dead;Discoloration;Discoloration;Dead;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Dead;Discoloration;Discoloration;Dead;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Dead;Discoloration;Discoloration;Wilted, Dead;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back;Dead;Discoloration;Discoloration;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed, Dead, J-rooting, Plug bound;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed;Healthy;Healthy;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Root:shoot ratio;Well developed;Insect/Mechanical damage;;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Root:shoot ratio;Well developed;;Healthy;Dead;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Healthy;Healthy;Healthy;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Root:shoot ratio;Well developed;Healthy;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed;Healthy;;Alive, Dead;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration;Discoloration;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Root:shoot ratio;;Discoloration, Outer bark, Cambium;Discoloration, Outer bark;Alive, Discoloration;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, J-rooting;Discoloration, Outer bark;Discoloration, Outer bark;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Healthy;Healthy;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Healthy;Healthy;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;;Healthy;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Mix of brown and green needles;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Mix of brown and green needles;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Cambium, Between outer and inner bark;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;Green needles;Well developed;;Discoloration, Outer bark, Cambium, Between outer and inner bark;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;Green needles;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Cambium, Between outer and inner bark;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Brown needles;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Cambium, Between outer and inner bark;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;Green needles;Few roots;Discoloration, Outer bark, Cambium, Between outer and inner bark;Healthy;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;Green needles;Well developed;Healthy;Healthy;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;Mix of brown and green needles;Few roots;Discoloration, Outer bark, Cambium, Between outer and inner bark;Discoloration, Outer bark, Cambium, Between outer and inner bark;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;Green needles;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark;Healthy;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Few roots, Dead;Discoloration;Discoloration, Sapwood;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed, Dead, J-rooting;Discoloration;Discoloration, Sapwood;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;Green needles;Few roots;Discoloration, Outer bark, Between outer and inner bark;Healthy;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;;Few roots, Dead, J-rooting;Discoloration;Discoloration, Sapwood;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Dead, Very dry;Well developed, Dead;Discoloration;Discoloration, Sapwood;Dead, Discoloration;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed, Dead;Healthy;Discoloration, Sapwood;Wilted, Discoloration;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed, Dead;Healthy;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Root:shoot ratio;Few roots, Dead, J-rooting;Discoloration;Discoloration;Wilted;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;;Few roots, Dead;Healthy;Discoloration;Alive;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed, Few roots, Dead;Discoloration;Discoloration;Discoloration;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium, Sapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium, Sapwood;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Few roots, Dead;Discoloration;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Brown roots, Green tips;Well developed, Dead, Plug Bound;Discoloration, Outer bark, Between outer and inner bark;Healthy;Alive;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Brown roots, Green tips;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Healthy;Alive, Green;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Brown roots, Green tips;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium, Sapwood;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Brown roots, Green tips;Well developed, Dead;Discoloration, Outer bark;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Brown roots, Green tips;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark;Dead;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Brown roots, Green tips;Well developed, Dead, Plug Bound;Discoloration, Outer bark;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Brown roots, Green tips;Well developed, Dead, Plug Bound;Discoloration, Outer bark;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Brown roots, Green tips;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;A;;Healthy;Well developed, Dead;Discoloration;Discoloration;Wilted, Dead;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back, Wilted;Well developed, Dead;Healthy;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;A;;Healthy;Well developed, Dead;Healthy;Healthy;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back, Wilted;Well developed, Dead;Healthy;Healthy, Discoloration;Wilted, Dead;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;A;;Healthy;Well developed, Dead;Healthy;Healthy, Discoloration, Between outer and inner bark;Alive;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back;Well developed, Dead;Discoloration;Discoloration, Between outer and inner bark, Sapwood;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back;Well developed, Dead;Discoloration;Discoloration, Between outer and inner bark, Sapwood;Wilted, Dead;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back;Well developed, Dead;Discoloration;;Wilted, Alive;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back;Well developed, Dead;Discoloration;Discoloration;Wilted, Dead;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back;Well developed, Dead;Discoloration;Discoloration;Wilted, Dead;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Dead;Discoloration;;Wilted;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Dead, J-rooting;Discoloration;Healthy;Wilted;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back, Wilted;Dead;Discoloration;Discoloration;Wilted, Dead, Discoloration;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Dead;Discoloration;Discoloration;Alive;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Dead;Discoloration;Discoloration;Wilted, Dead;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back, Wilted;Dead;Discoloration;Discoloration;Dead;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Dead;Discoloration;;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Dead;Discoloration;Discoloration;Discoloration;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;A;;Healthy;Dead;Discoloration;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Dead;Dead;Discoloration;Discoloration;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back;Dead;Discoloration;;Dead;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Well developed, Healthy;Healthy;Healthy;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Dead;Well developed;Discoloration, Swelling;Discoloration;Dead;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;;Discoloration, Swelling;Discoloration, Swelling;Alive;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;;Discoloration;Discoloration;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Dead;Well developed, Dead;Between outer and inner bark, Sapwood;Discoloration, Sapwood;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Well developed, Healthy;Healthy;Wilted, Discoloration;Wilted, Discoloration;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;;Discoloration, Outer bark;;Wilted;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;A;;Healthy;Well developed;;Girdling;Alive;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;A;;Healthy;Healthy;Healthy;;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back;J-rooting, Dead;Discoloration;Discoloration, Outer bark;Dead, Discoloration;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back;Dead;Discoloration;Discoloration;Alive, Wilted;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back, Wilted;Dead;Discoloration;Discoloration;Wilted, Discoloration;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Dead;Discoloration;Healthy;Alive;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Dead;Dead;Discoloration;Discoloration;Wilted, Dead, Discoloration;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Dead;Discoloration;Discoloration;Alive, Wilted;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back, Wilted;Dead;Discoloration;Healthy;Wilted, Dead, Discoloration;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back, Wilted;Well developed, Dead;Discoloration;Discoloration;Wilted, Dead;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;A;;Dead;Well developed, Dead, J-rooting;Discoloration;Discoloration;Wilted;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Well developed, Dead;Healthy;Discoloration;Alive, Wilted;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Well developed, Dead;Discoloration;Discoloration;Dead, Discoloration;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;Healthy, Few roots;Discoloration;Discoloration, Swelling;Alive, Discoloration;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Wilted;J-rooting;Discoloration;Swelling;Wilted, Discoloration;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;A;;Healthy;Well developed, Dead;Healthy;Healthy;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;Die-back, Wilted;Dead;Insect/Mechanical damage, Outer bark;Discoloration;Dead, Discoloration;Secondary Fungi/Bacteria
Ngodwana;Mpumalanga;;;Seedlings/Cuttings;D;;;No roots;Discoloration;Healthy;Dead, Discoloration;Fusarium circinatum
Ngodwana;Mpumalanga;;;Seedlings/Cuttings;D;;Wilted;Few roots, Dead;Discoloration;Healthy;Alive;Fusarium circinatum
Ngodwana;Mpumalanga;;;Seedlings/Cuttings;D;;Die-back, Wilted;Dead;Insect Mechanical damage, Discoloration;Discoloration;Dead, Discoloration;Fusarium circinatum
Ngodwana;Mpumalanga;;;Seedlings/Cuttings;D;;Root:shoot ratio;Few roots, Dead;Discoloration;Healthy;Dead, Discoloration;Fusarium circinatum
Ngodwana;Mpumalanga;;;Seedlings/Cuttings;D;;Root:shoot ratio;Dead;Discoloration;Healthy;Dead, Discoloration;Fusarium circinatum
Ngodwana;Mpumalanga;;;Seedlings/Cuttings;D;;Root:shoot ratio;Few roots, Dead;Insect Mechanical damage, Discoloration;Insect/Mechanical damage, Healthy;Insect/Mechanical damage, Discoloration;Fusarium circinatum
Ngodwana;Mpumalanga;;;Seedlings/Cuttings;D;;Root:shoot ratio, Wilted;Few roots, Dead;Discoloration;Healthy;Wilted, Discoloration;Fusarium circinatum
Hilton;Kwazulu-Natal;;;Water;A;N;;;;;;Secondary Fungi/Bacteria
Scottsville;Western Cape;;;Water;A;N;;;;;;Secondary Fungi/Bacteria
White River;Mpumalanga;Eucalyptus;macarthurii;Seedlings/Cuttings;D;N;;Well developed, J-rooting;Discoloration, Outer bark, Cambium, Between outer and inner bark, Swelling, Sapwood;Healthy;Alive;Phytophthora sp.
White River;Mpumalanga;Eucalyptus;macarthurii;Seedlings/Cuttings;D;N;;Few roots, Dead, J-rooting;Girdling, Discoloration, Outer bark, Cambium, Between outer and inner bark, Swelling, Sapwood;Healthy;Alive, Dead;Phytophthora sp.
DeHoop;Western Cape;Acacia;mearnsii;Foilage;D;N;;;;;Healthy;Phytophthora sp.
DeHoop;Western Cape;Acacia;mearnsii;Foilage;D;N;;;;Discoloration, Outer bark;Alive;Phytophthora sp.
DeHoop;Western Cape;Acacia;mearnsii;Foilage;D;N;;;;Healthy, Discoloration, Outer bark, Between outer and inner bark;Alive;Cylindrocladium sp., Phytophtora sp.
DeHoop;Western Cape;Acacia;mearnsii;Foilage;D;N;;;;Discoloration, Outer bark;;Cylindrocladium sp., Phytophtora sp.
DeHoop;Western Cape;Acacia;mearnsii;Foilage;D;N;;;;Discoloration, Outer bark;Discoloration;Cylindrocladium sp., Pythium sp.
DeHoop;Western Cape;Acacia;mearnsii;Foilage;D;N;;;;;;Cylindrocladium sp., Phytophtora sp.
DeHoop;Western Cape;Acacia;mearnsii;Foilage;D;N;;;;;;Cylindrocladium sp., Phytophtora sp.
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed, Dead;Discoloration;Discoloration, Sapwood;Alive;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed, Dead;Discoloration;Discoloration;Alive, Dead;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark;;Fusarium circinatum
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;Discoloration, Outer bark, Cambium, Between outer and inner bark, Sapwood;;Secondary Fungi/Bacteria
Howick;Kwazulu-Natal;;;Seedlings/Cuttings;D;;;Well developed, Dead;Discoloration;Discoloraiton, Between outer and inner bark;Dead, Discoloration;Fusarium circinatum
