Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
Kwazulu-Natal;Pinus;;Hedges;D;;;Few roots;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Alive;Identified asFusarium oxysporum, Fusarium ciricnatum root;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed;Insect/Mechanical damage, Discoloration, Outer bark, Fruiting bodies, Between outer & inner bark,FSPapwood;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;No tip;Identified as Fusarium ciricnatumFSPRoot;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;No tip;Identified as Fusarium ciricnatumFSPRoot;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Discoloration, Outer bark, Cambium, Between outer & inner bark,FSPapwood;Alive;Identified as Fusarium ciricnatumFSPRoot;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, J-rooting;Healthy;Healthy;Wilted;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, Dead, Plug bound;Insect/Mechanical damage, Discoloration;Insect/Mechanical damage, Discoloration;Dead;Identified asFusarium oxysporum;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, J-rooting, Dead, Plug bound;Insect/Mechanical damage, Discoloration;Insect/Mechanical damage, Discoloration;Dead;Identified asFusarium oxysporum;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, Dead, Plug bound;Insect/Mechanical damage, Discoloration;Insect/Mechanical damage, Discoloration;Dead;Identified as Fusarium ciricnatumFSPRoot;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, Dead;Insect/Mechanical damage, Discoloration;Insect/Mechanical damage, Discoloration;Dead;Identified as Fusarium ciricnatumFSPRoot;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, Dead, Plug bound;Insect/Mechanical damage, Discoloration;Insect/Mechanical damage, Discoloration;Dead;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, J-rooting, Dead, Plug bound;Insect/Mechanical damage, Discoloration;Insect/Mechanical damage, Discoloration;Wilted, Dead;Identified as Fusarium ciricnatumFSPRoot;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, J-rooting, Dead;Insect/Mechanical damage, Discoloration;Insect/Mechanical damage, Discoloration;Wilted, Dead;Identified as Fusarium ciricnatumFSPRoot;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, Dead, Plug bound;Insect/Mechanical damage, Discoloration;Insect/Mechanical damage, Discoloration;Alive, Wilted, Discoloration;Identified asFusarium oxysporum;
Kwazulu-Natal;Pinus;;Hedges;D;;;Dead, Plug bound;Insect/Mechanical damage, Discoloration;Discoloration;Dead, Discoloration;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, Healthy;Discoloration;Discoloration;;Identified asFusarium oxysporum;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed;Healthy;Healthy;Alive, Healthy;Identified as Fusarium ciricnatumFSPRoot;
Kwazulu-Natal;Pinus;;Hedges;D;;;Insect/Mechanical damage, J-rooting, Few roots;Discoloration;Discoloration, Unhealthy;Dry;Identified asDiplodea pinea;
Kwazulu-Natal;Pinus;;Hedges;D;;;Few roots;Clean;Clean;Alive;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, Healthy;Discoloration, Outer bark;Discoloration, Outer bark;Dead;Identified asFusarium oxysporum;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, Insect/Mechanical damage;Healthy;Healthy;Wilted;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, J-rooting;Discoloration, Outer bark;Discoloration, Outer bark;Unhealthy;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, Unhealthy;Discoloration, Outer bark;Discoloration;Unhealthy;Identified asFusarium oxysporum;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, Healthy;Healthy;Clean;Alive, Clean, Green;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;;Healthy, J-rooting;Healthy;Healthy;Healthy;No Fusarium ciricnatum circinatumorDiplodia;
Kwazulu-Natal;Pinus;;Hedges;D;;;Well developed, Healthy;Healthy;Clean;Wilted;No Fusarium ciricnatum circinatumorDiplodia;
Eastern Cape;Pinus;patula;Root,FSP Collar,FSPs;D;;;Well developed, J-rooting;Healthy;Healthy;Wilted, Dead;4/9 samples tested positive for Fusarium ciricnatum;
Eastern Cape;Pinus;patula;Root,FSP Collar,FSPs;D;;Die-back;Few roots, Dead;Healthy;Healthy;Wilted;4/9 samples tested positive for Fusarium ciricnatum;
Eastern Cape;Pinus;patula;Root,FSP Collar,FSPs;D;;;Well developed;Healthy;Healthy;Wilted, Dead;4/9 samples tested positive for Fusarium ciricnatum;
Eastern Cape;Pinus;patula;Root,FSP Collar,FSPs;D;;;Well developed, J-rooting;Healthy;Healthy;Wilted, Dead;No Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;J-rooting;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Cambium;Discoloration,FSPapwood;;S sapinea;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Cambium, Between outer and inner bark;Dead;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Dead, Few roots;Discoloration, Cambium;Discoloration, Cambium;Alive, Discoloration;S sapinea;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;;;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed, Healthy;Healthy;Healthy;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Outer bark, Between outer and inner bark;Dead;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Cambium;Discoloration;Dead;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Wilted;Few roots, Dead;Discoloration, Cambium;Discoloration,FSPapwood;Dead;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration;Discoloration, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;;;;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;;Discoloration, Outer bark, Cambium;;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Few roots, Dead;Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Cambium;Dead;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Cambium;Discoloration, Cambium;Alive, Discoloration;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Cambium;Kino/Gum/Resin Exudation, Discoloration,FSPapwood;Alive, Discoloration;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Dead, Few roots, J-rooting;Discoloration;Sapwood;Dead, Discoloration;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Cambium, Between inner and outer bark;;;S sapinea;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Discoloration, Outer bark;Discoloration, Outer bark;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Few roots, Dead;Discoloration, Cambium;Discoloration, Cambium;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Cambium, Between inner and outer bark;Discoloration, Between outer and inner bark;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Cambium,FSPapwood;Discoloration, Cambium,FSPapwood;Alive;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Few roots, Dead;Discoloration, Outer bark, Cambium, Between inner and outer bark;;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;;;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Cambium, Between inner and outer bark;Discoloration, Between outer and inner bark;Alive;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Discoloration, Outer bark;;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Healthy;Healthy;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration;Discoloration;Dead, Discoloration;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Healthy;Healthy;;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark;Discoloration, Cambium;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration;Discoloration;;S sapinea;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Healthy;Healthy;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Few roots, Dead;Cambium;Healthy, Discoloration;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Healthy;Healthy;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Healthy;Healthy;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;J-rooting, Dead;Discoloration;Healthy;Dead, Discoloration;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloraiton,FSPapwood;Discoloraiton,FSPapwood, Cambium;Dead;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed, Healthy, J-rooting;Healthy;Healthy;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloraiton,FSPapwood;Discoloraiton,FSPapwood;Alive, Wilted;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Healthy;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration;Discoloraiton,FSPapwood;Wilted, Discoloration;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloraiton,FSPapwood;Healthy;Alive, Wilted;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed, J-rooting;Healthy;Healthy;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloraiton,FSPapwood;Healthy, Discoloration;Alive, Wilted;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;J-rooting, Few roots, Dead;;;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloraiton,FSPapwood, Cambium;Discoloraiton,FSPapwood, Cambium;Dead;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloraiton,FSPapwood, Cambium;Discoloraiton,FSPapwood, Cambium;Dead;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Cambium;Discoloraiton,FSPapwood;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloraiton;Cambium,FSPapwood;Dead;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Between outer and inner bark, Cambium;Discoloration, Between outer and inner bark, Cambium;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Few roots;Healthy;Healthy;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Few roots;Healthy;Discoloration, Outer bark;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;;Healthy;Healthy;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Between outer and inner bark, Cambium;Discoloration, Cambium;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Healthy;Alive;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark;Healthy, Discoloration, Cambium, Between outer and inner bark;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;J-rooting, Few roots, Dead;Discoloraiton,FSPapwood;Discoloraiton,FSPapwood;Alive, Wilted;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Healthy;Healthy;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Few roots, Dead;Discoloration, Cambium;Discoloration,FSPapwood;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark;Discoloration, Outer bark, Between outer and inner bark;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Cambium;Discoloration, Cambium;Dead;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Cambium;Alive;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;;;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting, Few roots;Discoloration,FSPapwood;Healthy;Alive, Wilted;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Few roots;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Outer bark, Between outer and inner bark;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark;Discoloration, Between outer and inner bark;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed, Insect/Mechanical damage;Healthy, Insect/Mechanical damage;Healthy;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark;Discoloration, Cambium,FSPapwood;Dead;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Between outer and inner bark;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting, Few roots;Discoloration,FSPapwood;Discoloration,FSPapwood, Fruiting bodies;Alive, Wilted;S sapinea;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;;;Dead;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;;;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration,FSPapwood;Discoloration,FSPapwood;Dead, Wilted;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration,FSPapwood;Healthy;Alive, Wilted;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Healthy;Healthy;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, J-rooting;Discoloration,FSPapwood;Discoloration, Fuirting bodies,FSPapwood;Alive, Wilted;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium;Alive;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Cambium;Discoloration, Cambium;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration;Sapwood;Alive, Discoloraiton;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration, Outer bark, Between outer and inner bark, Cambium;;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Cambium, Between outer and inner bark;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Cambium, Between outer and inner bark;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Few roots;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;Discoloration, Outer bark, Between outer and inner bark, Cambium,FSPapwood;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Healthy;Healthy;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;;Discoloration, Cambium,FSPapwood;Alive, Discoloraiton;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration;Cambium, Between outer and inner bark;Wilted;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Healthy;Healthy;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;Alive;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, J-rooting;Discoloration,FSPapwood;Discoloration,FSPapwood;Alive, WIlted;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Few roots;Healthy, Discoloration;Healthy;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;Dead;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Discoloration;Healthy;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Few roots;Healthy, Fruiting bodies;Healthy, Fruiting bodies;Wilted, Dead;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Discoloration, Outer bark;Healthy;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;Root:shoot ratio;Well developed;Discoloration;Healthy;;Secondary Fungi/bacterium;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed, Dead, Few roots, J-rooting;Healthy,FSPapwood;Discoloration,FSPapwood;Alive, Wilted;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;J-rooting, Dead;Discoloration,FSPapwood;Discoloration,FSPapwood, Fruiting bodies;Wilted, Dead;Fusarium ciricnatum;
Kwazulu-Natal;;;Seedlings/Cuttings;;;;Well developed;Discoloration, Outer bark, Between outer and inner bark, Cambium;Discoloration, Outer bark, Between outer and inner bark, Cambium;;Secondary Fungi/bacterium;
